"id","city_id:id","name","code"
corregimiento_pa_1-1-1,odoopanama_org_vat.district_pa_1-1,"BOCAS DEL TORO (CABECERA)","1-1-1"
corregimiento_pa_1-1-2,odoopanama_org_vat.district_pa_1-1,"BASTIMENTOS","1-1-2"
corregimiento_pa_1-1-3,odoopanama_org_vat.district_pa_1-1,"CAUCHERO","1-1-3"
corregimiento_pa_1-1-4,odoopanama_org_vat.district_pa_1-1,"PUNTA LAUREL","1-1-4"
corregimiento_pa_1-1-5,odoopanama_org_vat.district_pa_1-1,"TIERRA OSCURA","1-1-5"
corregimiento_pa_1-2-1,odoopanama_org_vat.district_pa_1-2,"CHANGUINOLA (CABECERA)","1-2-1"
corregimiento_pa_1-2-2,odoopanama_org_vat.district_pa_1-2,"ALMIRANTE","1-2-2"
corregimiento_pa_1-2-3,odoopanama_org_vat.district_pa_1-2,"GUABITO","1-2-3"
corregimiento_pa_1-2-4,odoopanama_org_vat.district_pa_1-2,"TERIBE","1-2-4"
corregimiento_pa_1-2-5,odoopanama_org_vat.district_pa_1-2,"VALLE DEL RISCO","1-2-5"
corregimiento_pa_1-2-6,odoopanama_org_vat.district_pa_1-2,"EL EMPALME","1-2-6"
corregimiento_pa_1-2-7,odoopanama_org_vat.district_pa_1-2,"LAS TABLAS","1-2-7"
corregimiento_pa_1-3-1,odoopanama_org_vat.district_pa_1-3,"CHIRIQUI GRANDE (CABECERA)","1-3-1"
corregimiento_pa_1-3-2,odoopanama_org_vat.district_pa_1-3,"MIRAMAR","1-3-2"
corregimiento_pa_1-3-3,odoopanama_org_vat.district_pa_1-3,"PUNTA PEÑA","1-3-3"
corregimiento_pa_1-3-4,odoopanama_org_vat.district_pa_1-3,"PUNTA ROBALO","1-3-4"
corregimiento_pa_1-3-5,odoopanama_org_vat.district_pa_1-3,"RAMBALA","1-3-5"
corregimiento_pa_2-1-1,odoopanama_org_vat.district_pa_2-1,"AGUADULCE (CABECERA)","2-1-1"
corregimiento_pa_2-1-2,odoopanama_org_vat.district_pa_2-1,"EL CRISTO","2-1-2"
corregimiento_pa_2-1-3,odoopanama_org_vat.district_pa_2-1,"EL ROBLE","2-1-3"
corregimiento_pa_2-1-4,odoopanama_org_vat.district_pa_2-1,"POCRI","2-1-4"
corregimiento_pa_2-1-5,odoopanama_org_vat.district_pa_2-1,"BARRIOS UNIDOS","2-1-5"
corregimiento_pa_2-2-1,odoopanama_org_vat.district_pa_2-2,"ANTON (CABECERA)","2-2-1"
corregimiento_pa_2-2-2,odoopanama_org_vat.district_pa_2-2,"CABUYA","2-2-2"
corregimiento_pa_2-2-3,odoopanama_org_vat.district_pa_2-2,"EL CHIRU","2-2-3"
corregimiento_pa_2-2-4,odoopanama_org_vat.district_pa_2-2,"EL RETIRO","2-2-4"
corregimiento_pa_2-2-5,odoopanama_org_vat.district_pa_2-2,"EL VALLE","2-2-5"
