"id","country_id:id","state_id:id","name","l10n_pa_code"
district_pa_1-1,base.pa,odoopanama_org.state_pa_1,"BOCAS DEL TORO","1-1"
district_pa_1-2,base.pa,odoopanama_org.state_pa_1,"CHANGUINOLA","1-2"
district_pa_1-3,base.pa,odoopanama_org.state_pa_1,"CHIRIQUI GRANDE","1-3"
district_pa_2-1,base.pa,odoopanama_org.state_pa_2,"AGUADULCE","2-1"
district_pa_2-2,base.pa,odoopanama_org.state_pa_2,"ANTON","2-2"
district_pa_2-3,base.pa,odoopanama_org.state_pa_2,"LA PINTADA","2-3"
district_pa_2-4,base.pa,odoopanama_org.state_pa_2,"NATA","2-4"
district_pa_2-5,base.pa,odoopanama_org.state_pa_2,"OLA","2-5"
district_pa_2-6,base.pa,odoopanama_org.state_pa_2,"PENONOME","2-6"
district_pa_3-1,base.pa,odoopanama_org.state_pa_3,"COLON","3-1"
district_pa_3-2,base.pa,odoopanama_org.state_pa_3,"CHAGRES","3-2"
district_pa_3-3,base.pa,odoopanama_org.state_pa_3,"DONOSO","3-3"
district_pa_3-4,base.pa,odoopanama_org.state_pa_3,"PORTOBELO","3-4"
district_pa_3-5,base.pa,odoopanama_org.state_pa_3,"SANTA ISABEL","3-5"
district_pa_4-1,base.pa,odoopanama_org.state_pa_4,"ALANJE","4-1"
district_pa_4-2,base.pa,odoopanama_org.state_pa_4,"BARU","4-2"
district_pa_4-3,base.pa,odoopanama_org.state_pa_4,"BOQUERON","4-3"
district_pa_4-4,base.pa,odoopanama_org.state_pa_4,"BOQUETE","4-4"
district_pa_4-5,base.pa,odoopanama_org.state_pa_4,"BUGABA","4-5"
district_pa_4-6,base.pa,odoopanama_org.state_pa_4,"DAVID","4-6"
district_pa_4-7,base.pa,odoopanama_org.state_pa_4,"DOLEGA","4-7"
district_pa_4-8,base.pa,odoopanama_org.state_pa_4,"GUALACA","4-8"
district_pa_4-9,base.pa,odoopanama_org.state_pa_4,"REMEDIOS","4-9"
district_pa_4-10,base.pa,odoopanama_org.state_pa_4,"RENACIMIENTO","4-10"
district_pa_4-11,base.pa,odoopanama_org.state_pa_4,"SAN FELIX","4-11"
district_pa_4-12,base.pa,odoopanama_org.state_pa_4,"SAN LORENZO","4-12"
district_pa_4-13,base.pa,odoopanama_org.state_pa_4,"TOLE","4-13"
district_pa_5-1,base.pa,odoopanama_org.state_pa_5,"CHEPIGANA","5-1"
district_pa_5-2,base.pa,odoopanama_org.state_pa_5,"PINOGANA","5-2"
district_pa_6-1,base.pa,odoopanama_org.state_pa_6,"CHITRE","6-1"
district_pa_6-2,base.pa,odoopanama_org.state_pa_6,"LAS MINAS","6-2"
district_pa_6-3,base.pa,odoopanama_org.state_pa_6,"LOS POZOS","6-3"
district_pa_6-4,base.pa,odoopanama_org.state_pa_6,"OCU","6-4"
district_pa_6-5,base.pa,odoopanama_org.state_pa_6,"PARITA","6-5"
district_pa_6-6,base.pa,odoopanama_org.state_pa_6,"PESE","6-6"
district_pa_6-7,base.pa,odoopanama_org.state_pa_6,"SANTA MARIA","6-7"
district_pa_7-1,base.pa,odoopanama_org.state_pa_7,"GUARARE","7-1"
district_pa_7-2,base.pa,odoopanama_org.state_pa_7,"LAS TABLAS","7-2"
district_pa_7-3,base.pa,odoopanama_org.state_pa_7,"LOS SANTOS","7-3"
district_pa_7-4,base.pa,odoopanama_org.state_pa_7,"MACARACAS","7-4"
district_pa_7-5,base.pa,odoopanama_org.state_pa_7,"PEDASI","7-5"
district_pa_7-6,base.pa,odoopanama_org.state_pa_7,"POCRI","7-6"
district_pa_7-7,base.pa,odoopanama_org.state_pa_7,"TONOSI","7-7"
district_pa_8-2,base.pa,odoopanama_org.state_pa_8,"BALBOA","8-2"
district_pa_8-5,base.pa,odoopanama_org.state_pa_8,"CHEPO","8-5"
district_pa_8-6,base.pa,odoopanama_org.state_pa_8,"CHIMAN","8-6"
district_pa_8-8,base.pa,odoopanama_org.state_pa_8,"PANAMÁ","8-8"
district_pa_8-10,base.pa,odoopanama_org.state_pa_8,"SAN MIGUELITO","8-10"
district_pa_8-11,base.pa,odoopanama_org.state_pa_8,"TABOGA","8-11"
district_pa_9-1,base.pa,odoopanama_org.state_pa_9,"ATALAYA","9-1"
district_pa_9-2,base.pa,odoopanama_org.state_pa_9,"CALOBRE","9-2"
district_pa_9-3,base.pa,odoopanama_org.state_pa_9,"CAÑAZAS","9-3"
district_pa_9-4,base.pa,odoopanama_org.state_pa_9,"LA MEZA","9-4"
district_pa_9-5,base.pa,odoopanama_org.state_pa_9,"LAS PALMAS","9-5"
district_pa_9-6,base.pa,odoopanama_org.state_pa_9,"MONTIJO","9-6"
district_pa_9-7,base.pa,odoopanama_org.state_pa_9,"RIO DE JESUS","9-7"
district_pa_9-8,base.pa,odoopanama_org.state_pa_9,"SAN FRANCISCO","9-8"
district_pa_9-9,base.pa,odoopanama_org.state_pa_9,"SANTA FE","9-9"
district_pa_9-10,base.pa,odoopanama_org.state_pa_9,"SANTIAGO","9-10"
district_pa_9-11,base.pa,odoopanama_org.state_pa_9,"SONA","9-11"
district_pa_9-12,base.pa,odoopanama_org.state_pa_9,"MARIATO","9-12"
district_pa_10-1,base.pa,odoopanama_org.state_pa_10,"COMARCA KUNA YALA","10-1"
district_pa_11-1,base.pa,odoopanama_org.state_pa_11,"CEMACO","11-1"
district_pa_11-2,base.pa,odoopanama_org.state_pa_11,"SAMBU","11-2"
district_pa_12-1,base.pa,odoopanama_org.state_pa_12,"BESIKO","12-1"
district_pa_12-2,base.pa,odoopanama_org.state_pa_12,"MIRONO","12-2"
district_pa_12-3,base.pa,odoopanama_org.state_pa_12,"MUNA","12-3"
district_pa_12-4,base.pa,odoopanama_org.state_pa_12,"NOLE DUIMA","12-4"
district_pa_12-5,base.pa,odoopanama_org.state_pa_12,"NURUM","12-5"
district_pa_12-6,base.pa,odoopanama_org.state_pa_12,"KANKINTU","12-6"
district_pa_12-7,base.pa,odoopanama_org.state_pa_12,"KUSAPIN","12-7"
district_pa_13-1,base.pa,odoopanama_org.state_pa_13,"ARRAIJAN","13-1"
district_pa_13-2,base.pa,odoopanama_org.state_pa_13,"CAPIRA","13-2"
district_pa_13-3,base.pa,odoopanama_org.state_pa_13,"CHAME","13-3"
district_pa_13-4,base.pa,odoopanama_org.state_pa_13,"LA CHORRERA","13-4"
district_pa_13-5,base.pa,odoopanama_org.state_pa_13,"SAN CARLOS","13-5"
