"id","country_id:id","name","code"
state_pa_1,base.pa,"BOCAS DEL TORO","1"
state_pa_2,base.pa,"COCLE","2"
state_pa_3,base.pa,"COLON","3"
state_pa_4,base.pa,"CHIRIQUI","4"
state_pa_5,base.pa,"DARIEN","5"
state_pa_6,base.pa,"HERRERA","6"
state_pa_7,base.pa,"LOS SANTOS","7"
state_pa_8,base.pa,"PANAMA","8"
state_pa_9,base.pa,"VERAGUAS","9"
state_pa_10,base.pa,"COMARCA KUNA YALA","10"
state_pa_11,base.pa,"COMARCA EMBERAWOUNAAN","11"
state_pa_12,base.pa,"COMARCA NGABEBUGLE","12"
state_pa_13,base.pa,"PANAMA OESTE","13"
